Geo_Point;Geo_Shape;NOM;NUM;RUE;CP
43.6060994787, 1.4302823763;{"type": "Point", "coordinates": [1.4302823763044, 43.60609947874698]};AMIDONNIERS;29;all. de Brienne;31000
43.5653536298, 1.40215000448;{"type": "Point", "coordinates": [1.402150004476006, 43.56535362975627]};NOUGARO;3;imp. F. Foulquier;31100
43.6231324919, 1.4307602942;{"type": "Point", "coordinates": [1.430760294202289, 43.62313249189785]};GERMAINE CHAUMEL;;place Stéphane Hessel;31200
43.5754397911, 1.4375916847;{"type": "Point", "coordinates": [1.437591684702581, 43.575439791125284]};C.A.P.P.E;1;imp des Hérons;31400
43.6407673108, 1.45799458832;{"type": "Point", "coordinates": [1.45799458831735, 43.64076731076875]};CLAIR DE LUNE;25;ch. de Borderouge;31200
43.6034093725, 1.44677283242;{"type": "Point", "coordinates": [1.446772832417299, 43.60340937246663]};LA RIBAMBELLE;6;rue du Lieut. Colo. Pélissier;31000
43.5799443371, 1.41152734778;{"type": "Point", "coordinates": [1.411527347777253, 43.57994433707251]};BAGATELLE;62;rue du Lot;31100
43.5783876467, 1.44131560875;{"type": "Point", "coordinates": [1.441315608748394, 43.5783876466821]};EMPALOT;42;Av. J. Moulin;31400
43.5850371358, 1.41213705259;{"type": "Point", "coordinates": [1.412137052585758, 43.58503713579174]};LA BALEINE BLEUE;17;rue d'Aspin;31100
43.6089819652, 1.44910976983;{"type": "Point", "coordinates": [1.449109769833689, 43.60898196516383]};LA FARANDOLE;19;rue de Belfort;31000
43.5849197401, 1.39326157161;{"type": "Point", "coordinates": [1.393261571605678, 43.58491974014958]};LE BALLON;2;rue Louis Braud;31100
43.6233323314, 1.42363004031;{"type": "Point", "coordinates": [1.423630040312, 43.62333233136017]};GAN RACHI;8;imp.Suzanne Lenglen;31200
43.5910075005, 1.45468759093;{"type": "Point", "coordinates": [1.45468759093259, 43.59100750047316]};LE NID DES CIGOGNEAUX;15;rue Mondran;31400
43.5959077791, 1.48557131134;{"type": "Point", "coordinates": [1.485571311340806, 43.59590777907315]};LES ENFANTS SAGES - BABY NOVARS;211;avenue de Castres;31500
43.6179095114, 1.40721883894;{"type": "Point", "coordinates": [1.407218838944191, 43.61790951140883]};LES MOUSSAILLONS;7;ch de la Garonne;31200
43.6028449807, 1.44951748055;{"type": "Point", "coordinates": [1.449517480551505, 43.602844980711644]};OCCITANE;1;place Occitane;31000
43.5929415867, 1.43252237858;{"type": "Point", "coordinates": [1.432522378581796, 43.59294158669477]};SAINTE LUCIE;17;rue Sainte-Lucie;31300
43.6166626533, 1.40879377565;{"type": "Point", "coordinates": [1.408793775648325, 43.61666265325939]};SEPT DENIERS;110;route de Blagnac;31200
43.5787960203, 1.44654969145;{"type": "Point", "coordinates": [1.446549691445456, 43.578796020327715]};LES PETITS PAS;81;rue St Roch;31400
43.568867127, 1.45735117927;{"type": "Point", "coordinates": [1.45735117927056, 43.56886712698107]};TENDRES CALINS;5;rue des Roseaux;31400
43.6074504403, 1.44138986849;{"type": "Point", "coordinates": [1.441389868485697, 43.607450440321166]};TROIS RENARDS;2;rue des Trois Renards;31000
43.5982898634, 1.43368473265;{"type": "Point", "coordinates": [1.433684732654832, 43.59828986335854]};REPUBLIQUE ST CYPRIEN;48;rue de la République;31300
43.5856270664, 1.44878039267;{"type": "Point", "coordinates": [1.448780392670551, 43.585627066368744]};SAINT DENIS;8;rue St Denis;31400
43.6146155159, 1.42227339832;{"type": "Point", "coordinates": [1.422273398322885, 43.61461551592846]};LES ENFANTS TERRIBLES;1;rue Henri Docquiert;31200
43.6542198508, 1.4397021156;{"type": "Point", "coordinates": [1.439702115596451, 43.65421985081867]};VIRGINIA WOOLF;12;rue Virginia Woolf;31200
43.5735768736, 1.38407391028;{"type": "Point", "coordinates": [1.384073910275207, 43.573576873588415]};BEBEBIZ LES FRIMOUSS;135;route de Saint-Simon;31100
43.5596466224, 1.40347711086;{"type": "Point", "coordinates": [1.403477110855911, 43.55964662243646]};BULLES D'ANGE;157;route de Seysses;31100
43.5614797026, 1.39809333657;{"type": "Point", "coordinates": [1.39809333657093, 43.56147970261145]};CARABISTOUILLE;16;cheminement le Tintoret;31100
43.6450073194, 1.43326106594;{"type": "Point", "coordinates": [1.433261065942693, 43.645007319388206]};O EN COULEURS;2015;avenue de Fronton;31200
43.6368729153, 1.45256429402;{"type": "Point", "coordinates": [1.452564294020024, 43.6368729152975]};LES PETITS PIERROTS;41;av bourgès Maunoury;31200
43.6387894117, 1.4641133072;{"type": "Point", "coordinates": [1.464113307195769, 43.638789411730514]};CROIX DAURADE;5;imp. du cimetière-Croix-Daurade;31200
43.6220331807, 1.43948282177;{"type": "Point", "coordinates": [1.439482821766158, 43.62203318070115]};DANS LA LUNE;13;rue Paul Campadieu;31200
43.6200577269, 1.39912722873;{"type": "Point", "coordinates": [1.39912722873206, 43.620057726879146]};GRIBOUILLE;13;rue de la Limagne;31300
43.5757435493, 1.45543505934;{"type": "Point", "coordinates": [1.455435059344109, 43.575743549327406]};JULES JULIEN;44;av. de Rangueil;31400
43.630797614, 1.44932943882;{"type": "Point", "coordinates": [1.449329438822814, 43.63079761401793]};LE CERCLE DES CULOTTES COURTES;15;av bourgès Maunoury;31200
43.5837195325, 1.48345613592;{"type": "Point", "coordinates": [1.483456135921957, 43.58371953250772]};LA TERRASSE;15;impasse Schrader;31500
43.6084694224, 1.45053272929;{"type": "Point", "coordinates": [1.450532729288107, 43.60846942237166]};LES PETITS GALOPINS;12;rue Caffarelli;31000
43.5965022023, 1.45981373981;{"type": "Point", "coordinates": [1.45981373981346, 43.59650220227197]};LES PETITES CANAILLES;19;rue du chant du Merle;31400
43.5791230329, 1.38729416276;{"type": "Point", "coordinates": [1.38729416276438, 43.57912303292309]};LES PRADETTES;12;ch. des pradettes;31100
43.5934008235, 1.39601939516;{"type": "Point", "coordinates": [1.396019395160567, 43.593400823479946]};LES VITARELLES I;122;avenue de Lardenne;31100
43.5865195554, 1.40657190075;{"type": "Point", "coordinates": [1.406571900754135, 43.58651955540562]};PETIT A PETIT;300;route de Saint Simon;31100
43.6247258595, 1.46761070699;{"type": "Point", "coordinates": [1.467610706989392, 43.624725859501304]};PLUME D'ANGE;38;av de la Roseraie;31500
43.5822087828, 1.49320507534;{"type": "Point", "coordinates": [1.493205075336852, 43.58220878281343]};SUR LA PETITE PLANETE;20;impasse Couzinet;31500
43.6025036403, 1.44878480902;{"type": "Point", "coordinates": [1.448784809024731, 43.60250364025479]};FOURTANIER;10;rue Louis Deffes;31000
43.5715274541, 1.4131000004;{"type": "Point", "coordinates": [1.413100000401224, 43.571527454081405]};TABARBOUILLE;1;place André Mathieu;31100
43.6203430207, 1.44096234785;{"type": "Point", "coordinates": [1.440962347853974, 43.620343020701846]};NEGRENEYS;57;rue des Anges;31200
43.6362120534, 1.44399789976;{"type": "Point", "coordinates": [1.443997899761733, 43.63621205335781]};LAMPAGIA;95;rue Ernest Renan;31200
43.5745021436, 1.46336013331;{"type": "Point", "coordinates": [1.463360133306959, 43.5745021435682]};ROSA PARKS;3;rue Henri Vallée;31400
43.6181539153, 1.39803845287;{"type": "Point", "coordinates": [1.398038452872724, 43.61815391527928]};GRIBOUILLE 2;7;allée du Vivarais;31300
