Geo_Point;Geo_Shape;Ecole;Num;Libelle;Codpos;Tel
43.6413787179, 1.45467194877;{"type": "Point", "coordinates": [1.454671948767806, 43.641378717949195]};Borderouge;0006;RUE ANTOINE PASTRE;31200;05 61 26 27 02
43.5820803245, 1.47601286536;{"type": "Point", "coordinates": [1.47601286536061, 43.58208032454524]};Courrège;0165;AV ANTOINE DE ST EXUPERY;31400;05 61 20 03 05
43.5781555162, 1.41394247803;{"type": "Point", "coordinates": [1.41394247802946, 43.57815551620617]};Dauriac Sylvain;0041;RUE PAUL LAMBERT;31100;05 61 40 24 15
43.6009790664, 1.40559207684;{"type": "Point", "coordinates": [1.405592076840447, 43.600979066429005]};De Gaulle-Anthonioz;0007;RUE MARIE DE GOURNAY;31300;05 64 64 34 66
43.5605838388, 1.39913522558;{"type": "Point", "coordinates": [1.3991352255805, 43.56058383881633]};Dottin Paul;0010;RUE DU RECTEUR DOTTIN;31100;05 61 40 25 68
43.6329648473, 1.43336179359;{"type": "Point", "coordinates": [1.433361793591889, 43.63296484734962]};Ferry Jules;0109;AV DE FRONTON;31200;05 61 47 58 83
43.6040857592, 1.40885819642;{"type": "Point", "coordinates": [1.408858196419049, 43.60408575920985]};Gais Pinsons (Les);0006;RUE DES GAIS PINSONS;31300;05 61 49 21 57
43.5756303192, 1.41807489037;{"type": "Point", "coordinates": [1.418074890369168, 43.575630319241476]};Jacquier Maurice;0007;RUE DU POITOU;31100;05 61 40 31 08
43.5890691689, 1.45138917253;{"type": "Point", "coordinates": [1.451389172532042, 43.589069168860696]};Jaurès Jean;0021;AV FRIZAC;31400;05 61 52 83 06
43.6138452462, 1.46780270321;{"type": "Point", "coordinates": [1.467802703205024, 43.613845246218446]};Jolimont;0014;AV HENRI GUILLAUMET;31500;05 61 48 76 06
43.6286296191, 1.46064267653;{"type": "Point", "coordinates": [1.460642676532147, 43.6286296191298]};Lapujade;0026;RTE D ALBI;31200;05 61 48 60 87
43.5887408626, 1.37813068905;{"type": "Point", "coordinates": [1.378130689049798, 43.58874086257311]};Lardenne;0020;CHE DE ROCAMADOUR;31100;05 61 49 26 79
43.6032065635, 1.45592666568;{"type": "Point", "coordinates": [1.455926665681064, 43.60320656349088]};Michelet;0005;BD JULES MICHELET;31000;05 61 62 01 19
43.6400104183, 1.45020189353;{"type": "Point", "coordinates": [1.450201893526945, 43.64001041828066]};Niboul;0009;RUE ARRIA LY;31200;05 34 30 65 40
43.5971050189, 1.40124670005;{"type": "Point", "coordinates": [1.401246700052366, 43.59710501888132]};Pagnol Marcel;0007;RUE ERNEST DUFER;31300;05 61 49 34 04
43.5453229198, 1.45354158481;{"type": "Point", "coordinates": [1.453541584814051, 43.545322919843144]};Pastel (Le);0002;CHE D ESCALLES;31400;05 62 88 08 79
43.5809990162, 1.4618332817;{"type": "Point", "coordinates": [1.461833281702288, 43.5809990162494]};Sauzelong;0092;AV ALBERT BEDOUCE;31400;05 61 52 92 80
43.5722219814, 1.39443463364;{"type": "Point", "coordinates": [1.394434633636751, 43.57222198136592]};Triolet Elsa;0004B;RUE EMILE PELLETIER;31100;05 61 40 97 12
43.5813508848, 1.3919526159;{"type": "Point", "coordinates": [1.391952615900142, 43.58135088477206]};Viollet-le-Duc;0023;RUE EUGENE VIOLLET LE DUC;31100;05 61 40 98 40
43.6092942963, 1.42136729757;{"type": "Point", "coordinates": [1.421367297567986, 43.60929429626533]};Amidonniers;0123;ALL DE BRIENNE;31000;05 61 21 68 40
43.6114558631, 1.44787439861;{"type": "Point", "coordinates": [1.44787439860971, 43.61145586313061]};Bayard / Matabiau;0060;RUE MATABIAU;31000;05 61 62 35 11
43.55966157, 1.37826629559;{"type": "Point", "coordinates": [1.378266295585851, 43.559661570014036]};Bert Paul;0004;CHE DE LIFFARD;31100;05 61 07 57 25
43.5881464124, 1.42090298847;{"type": "Point", "coordinates": [1.42090298846796, 43.58814641244482]};Billières Etienne;0056;RUE JACQUES GAMELIN;31100;05 61 40 29 81
43.6023837492, 1.46587778259;{"type": "Point", "coordinates": [1.46587778259419, 43.602383749156054]};Bonhoure;0020B;PL MARIUS PINEL;31500;05 61 80 95 00
43.6006672519, 1.4853837448;{"type": "Point", "coordinates": [1.485383744803545, 43.60066725194224]};Château de l'Hers;0008;RUE CLAUDIUS ROUGENET;31500;05 61 34 94 68
43.5808611002, 1.43824546813;{"type": "Point", "coordinates": [1.438245468125916, 43.58086110022983]};Daste André;0004;AV DE LATTRE DE TASSIGNY;31400;05 61 52 30 60
43.5735735068, 1.40242465243;{"type": "Point", "coordinates": [1.40242465242868, 43.57357350675941]};Daurat Didier;0019;RUE JEAN GILLES;31100;05 61 40 11 38
43.577254924, 1.4886498408;{"type": "Point", "coordinates": [1.488649840800708, 43.57725492397734]};Guillaumet Henri;0030;CHE DE BITET;31400;05 61 20 03 07
43.5662862148, 1.40245681631;{"type": "Point", "coordinates": [1.402456816308472, 43.566286214824295]};Hugo Victor;0003;IMP THEODORE RICHARD;31100;05 61 40 25 32
43.6174702188, 1.47168152326;{"type": "Point", "coordinates": [1.471681523260377, 43.617470218846634]};Juncasse (La);0133;RUE LOUIS PLANA;31500;05 61 48 72 82
43.5976767433, 1.43486825419;{"type": "Point", "coordinates": [1.434868254185989, 43.59767674332252]};Lespinasse;0003;RUE DU CHAIREDON;31300;05 61 42 86 31
43.6267289341, 1.46821119078;{"type": "Point", "coordinates": [1.468211190780856, 43.62672893413504]};Michoun;0049;CHE MICHOUN;31500;05 61 48 83 15
43.6231992387, 1.43014795873;{"type": "Point", "coordinates": [1.430147958727595, 43.623199238737655]};Musset Alfred De;0005;RUE DU GENERAL HOCHE;31200;05 61 47 64 90
43.5954761712, 1.42442983745;{"type": "Point", "coordinates": [1.424429837445829, 43.59547617118953]};Patte d'Oie;0044;RUE DU TCHAD;31300;05 61 42 00 14
43.5826436017, 1.44873749964;{"type": "Point", "coordinates": [1.44873749963894, 43.58264360166295]};Ricardie 2;0020;AV DE L URSS;31400;05 61 52 29 08
