Geo_Point;Geo_Shape;Ecole;Num;Libelle;Codpos;Tel
43.6006672519, 1.4853837448;{"type": "Point", "coordinates": [1.485383744803545, 43.60066725194224]};Château de l'Hers;0008;RUE CLAUDIUS ROUGENET;31500;05 61 20 37 08
43.6206799849, 1.44442402275;{"type": "Point", "coordinates": [1.444424022746521, 43.62067998488841]};Curie Marie & Pierre;0059;CHE LINIERES;31200;05 61 47 61 84
43.6369810969, 1.46309626245;{"type": "Point", "coordinates": [1.463096262446655, 43.636981096936054]};Cuvier;0002;RUE SERGE GAINSBOURG;31200;05 61 48 77 91
43.5810022611, 1.4391634972;{"type": "Point", "coordinates": [1.439163497196924, 43.58100226108515]};Daste André;0029;RUE DE TOULON;31400;05 61 52 00 16
43.5864113324, 1.47933462892;{"type": "Point", "coordinates": [1.47933462891792, 43.58641133241928]};Dolto Françoise;0011;RUE DE DAKAR;31500;05 61 20 10 86
43.5989555318, 1.43185531464;{"type": "Point", "coordinates": [1.431855314644377, 43.59895553181325]};Duportal Armand;0026;RUE RECLUSANE;31300;05 61 42 95 51
43.5809909277, 1.38068742506;{"type": "Point", "coordinates": [1.380687425061323, 43.5809909276953]};Dupouy Gaston;0010;RUE DU PR GASTON DUPOUY;31100;05 61 44 81 97
43.6331437163, 1.43235997708;{"type": "Point", "coordinates": [1.432359977080845, 43.63314371630904]};Ferry Jules;0008;AV JULES FERRY;31200;05 61 47 72 60
43.5684168589, 1.40319644995;{"type": "Point", "coordinates": [1.403196449951728, 43.56841685891351]};Galia Jean;0005;CHEM ROBERT CAMBERT;31100;05 61 40 38 09
43.6287130511, 1.46072546791;{"type": "Point", "coordinates": [1.460725467905902, 43.628713051125665]};Lapujade;0030;RTE D ALBI;31200;05 61 48 71 64
43.6079123735, 1.37812460464;{"type": "Point", "coordinates": [1.378124604641181, 43.60791237352369]};Littre;0215;CHE DE TOURNEFEUILLE;31300;05 61 49 38 31
43.6264639375, 1.46671981908;{"type": "Point", "coordinates": [1.466719819076023, 43.6264639375427]};Michoun A;0002;IMP GABRIEL LIPPMANN;31500;05 61 48 82 91
43.6193024823, 1.43606358389;{"type": "Point", "coordinates": [1.436063583887115, 43.61930248226481]};Nougaro;0051;AV DES MINIMES;31200;05 61 22 84 96
43.5747617063, 1.42426636691;{"type": "Point", "coordinates": [1.424266366911454, 43.57476170630523]};Oustalous (Les);0065;RTE D ESPAGNE;31100;05 61 44 64 44
43.5715157048, 1.449518273;{"type": "Point", "coordinates": [1.449518272999401, 43.571515704781774]};Pech David;0163;CHE DE LA SALADE PONSAN;31400;05 61 53 22 41
43.5604042844, 1.39830537262;{"type": "Point", "coordinates": [1.398305372621672, 43.56040428441184]};Pinhous (Les);0005;RUE DU RECTEUR DOTTIN;31100;05 61 40 29 50
43.597547903, 1.4168501523;{"type": "Point", "coordinates": [1.416850152295509, 43.597547902999594]};Polygone;0013;RUE VINCENT SCOTTO;31300;05 61 49 34 42
43.5791314849, 1.46221590366;{"type": "Point", "coordinates": [1.46221590366259, 43.57913148490343]};Sauzelong;0030;RUE JEANNE MARVIG;31400;05 61 52 62 22
