Geo_Point;Geo_Shape;nom;street;No
43.6000778625, 1.44931801794;{"type": "Point", "coordinates": [1.449318017941393, 43.60007786245958]};PLACE SAINT ETIENNE;PL SAINT ETIENNE;14
43.5962857887, 1.44712909119;{"type": "Point", "coordinates": [1.447129091191995, 43.596285788668276]};OZENNE - NAZARETH;RUE THEODORE OZENNE;10
43.5998933097, 1.42946748828;{"type": "Point", "coordinates": [1.429467488283193, 43.59989330966812]};JARDIN RAYMOND VI;ALL CHARLES DE FITTE;76
43.6112623008, 1.4380734892;{"type": "Point", "coordinates": [1.438073489198071, 43.61126230080942]};LASCROSSES -  PLACE ARNAUD BERNARD;BD LASCROSSES;3B
43.6074477564, 1.4542531648;{"type": "Point", "coordinates": [1.454253164796721, 43.60744775641957]};PISCINE LEO LAGRANGE;RUE DES SEPT TROUBADOURS;54
43.6058190675, 1.45283559935;{"type": "Point", "coordinates": [1.452835599345174, 43.605819067453226]};PLACE DE DAMLOUP;PL DE DAMLOUP;2
43.6270624409, 1.43402945575;{"type": "Point", "coordinates": [1.434029455745734, 43.62706244089124]};BARRIERE DE PARIS;BRE DE PARIS;00
43.5876387848, 1.4598495052;{"type": "Point", "coordinates": [1.459849505196883, 43.587638784777816]};PONT DES DEMOISELLES;ALL DES DEMOISELLES;80
43.6046781027, 1.44952828207;{"type": "Point", "coordinates": [1.449528282070613, 43.60467810271876]};CARNOT -  TROIS JOURNEES;BD LAZARE CARNOT;69
43.5981319833, 1.43140332849;{"type": "Point", "coordinates": [1.43140332849084, 43.59813198330841]};PLACE INT ST CYPRIEN DARRE;PL INTERIEURE ST CYPRIEN;14
43.5966227093, 1.45560757526;{"type": "Point", "coordinates": [1.455607575263944, 43.59662270925102]};SABATIER - PORT ST SAUVEUR;ALL PAUL SABATIER;16
43.6080099354, 1.42860286856;{"type": "Point", "coordinates": [1.42860286855771, 43.608009935378085]};HERACLES - BEARNAIS;RUE DU BEARNAIS;23
43.6088961907, 1.4530070198;{"type": "Point", "coordinates": [1.4530070197967, 43.608896190746115]};JAURES  -  STALINGRAD;ALL JEAN JAURES;71T
43.6095901704, 1.43040129112;{"type": "Point", "coordinates": [1.430401291118368, 43.60959017035665]};SEBASTOPOL - LASCROSSES;RUE DE SEBASTOPOL;1
43.6056186711, 1.43449255912;{"type": "Point", "coordinates": [1.434492559117631, 43.605618671087626]};DUPORTAL - CANAL DE BRIENNE;BD ARMAND DUPORTAL;1
43.5969150023, 1.42621995844;{"type": "Point", "coordinates": [1.426219958441036, 43.59691500234311]};BILLIERES - POSTE;AV ETIENNE BILLIERES;39
43.616959762, 1.45426742657;{"type": "Point", "coordinates": [1.454267426571888, 43.61695976203266]};ECOLE BONNEFOY;RUE DU FAUBOURG BONNEFOY;18
43.6074815108, 1.45171127289;{"type": "Point", "coordinates": [1.451711272893721, 43.607481510816584]};JAURES -  BACHELIER;ALL JEAN JAURES;60
43.6229744495, 1.43445042874;{"type": "Point", "coordinates": [1.434450428744692, 43.622974449488865]};MINIMES - BAQUE;AV DES MINIMES;101
43.5967115559, 1.42430427461;{"type": "Point", "coordinates": [1.424304274606457, 43.5967115558939]};BILLIERES -  PATTE D OIE;AV ETIENNE BILLIERES;66T
43.5923261194, 1.44907945575;{"type": "Point", "coordinates": [1.449079455754988, 43.592326119405904]};MUSEUM  -  DUMERIL;RUE ALFRED DUMERIL;58
43.5924441698, 1.45792809521;{"type": "Point", "coordinates": [1.457928095207076, 43.59244416979375]};BD MONTPLAISIR -  CANAL;BD MONPLAISIR;8
43.5905939965, 1.44529342012;{"type": "Point", "coordinates": [1.445293420115391, 43.590593996540946]};ST MICHEL - STE CATHERINE;GRANDE-RUE SAINT MICHEL;139
43.5854214865, 1.45301555155;{"type": "Point", "coordinates": [1.453015551550502, 43.58542148650607]};PLACE RUSSEL -  BRANLY;ALL EDOUARD BRANLY;47
43.5899454385, 1.43219351659;{"type": "Point", "coordinates": [1.432193516586127, 43.58994543847627]};MURET -  BARTHERE;AV DE MURET;223B
43.6142277867, 1.4380432683;{"type": "Point", "coordinates": [1.438043268300888, 43.614227786727334]};SERRES -  CABANEL;RUE ALEXANDRE CABANEL;16
43.6023178414, 1.4255371289;{"type": "Point", "coordinates": [1.425537128903929, 43.602317841402375]};THEATRE GARONNE;AV DU CHATEAU D EAU;4
43.61560262, 1.42836374212;{"type": "Point", "coordinates": [1.428363742120968, 43.615602620030835]};SANG DE SERP DAGNAUX;CHE DU SANG DE SERP;57
43.6246222645, 1.44311909743;{"type": "Point", "coordinates": [1.443119097429021, 43.62462226453625]};CURIE NEGRENEYS;BD PIERRE ET MARIE CURIE;27
43.6241333206, 1.43848239495;{"type": "Point", "coordinates": [1.438482394954704, 43.624133320615066]};THEATRE DES MAZADES;AV DES MAZADES;10
43.6153965466, 1.44858154177;{"type": "Point", "coordinates": [1.44858154177121, 43.61539654660261]};RAISIN;CHE DU RAISIN;2
43.5797667669, 1.46001451741;{"type": "Point", "coordinates": [1.460014517407889, 43.57976676688256]};METRO SAOUZELONG;AV ALBERT BEDOUCE;77
43.5815724707, 1.46242017599;{"type": "Point", "coordinates": [1.462420175988542, 43.581572470701246]};BEDOUCE CANAL DU MIDI;AV ALBERT BEDOUCE;115
43.6265865357, 1.45877424738;{"type": "Point", "coordinates": [1.458774247384103, 43.62658653572091]};BILA;PL BILA;1
43.6285741118, 1.44819976763;{"type": "Point", "coordinates": [1.448199767632988, 43.62857411176401]};MAUNOURY PISAN;AV MAURICE BOURGES MAUNOURY;9
43.6113246752, 1.45679944036;{"type": "Point", "coordinates": [1.456799440355592, 43.611324675199185]};LEDUC;RUE RENE LEDUC;5
43.6068412894, 1.45804986996;{"type": "Point", "coordinates": [1.458049869956853, 43.60684128936947]};GENERAL COMPANS;RUE DU GEN JEAN COMPANS;1
43.612229853, 1.47754712624;{"type": "Point", "coordinates": [1.477547126240095, 43.61222985301434]};PLACE SOUPETARD;PL DE SOUPETARD;3
43.6092533843, 1.47995638245;{"type": "Point", "coordinates": [1.479956382451087, 43.60925338434415]};PLANA GARNIER;RUE LOUIS PLANA;27
43.5845764258, 1.41570681318;{"type": "Point", "coordinates": [1.415706813175606, 43.58457642584108]};DESBALS MONT DORE;RUE HENRI DESBALS;187
43.5900181346, 1.41520209844;{"type": "Point", "coordinates": [1.415202098440148, 43.59001813459135]};ST SIMON QUATORZE JUILLET;RTE DE SAINT SIMON;395
43.6152177968, 1.46545891345;{"type": "Point", "coordinates": [1.465458913452782, 43.61521779676601]};CRETES CHAUMIERES;RUE DE LA CHAUMIERE;0
43.6227619027, 1.47404258889;{"type": "Point", "coordinates": [1.474042588885385, 43.6227619027018]};ARGOULETS HOUDON;RUE JEAN HOUDON;3
43.614565694, 1.41121089957;{"type": "Point", "coordinates": [1.411210899567453, 43.61456569400828]};PUCCINI BLAGNAC;RUE GIACOMO PUCCINI;35
43.5745711571, 1.40213704131;{"type": "Point", "coordinates": [1.402137041306263, 43.57457115709285]};TABAR UNIVERSITE;RUE UNIVERSITE DU MIRAIL;3
43.5764436931, 1.40666358575;{"type": "Point", "coordinates": [1.406663585745594, 43.576443693078694]};VAUQUELIN;RUE NICOLAS L VAUQUELIN;85
43.6041619433, 1.40726460664;{"type": "Point", "coordinates": [1.407264606636005, 43.60416194326168]};FONTAINES CASSELARDIT;RUE DES FONTAINES;292
43.6280995726, 1.45149691297;{"type": "Point", "coordinates": [1.451496912972016, 43.62809957263249]};LOUIN RAYNAL;RUE PIERRETTE LOUIN;4
43.6410053602, 1.44854596556;{"type": "Point", "coordinates": [1.448545965556452, 43.64100536022816]};BOUQUETINS ROSTAND;RUE EDMOND ROSTAND;139
43.6143142236, 1.4617646007;{"type": "Point", "coordinates": [1.461764600696849, 43.61431422357151]};JOLIMONT;AV LEON BLUM;26
43.5939923678, 1.4102831821;{"type": "Point", "coordinates": [1.410283182097564, 43.593992367802606]};LOMBEZ HIPPODROME;AV DE LOMBEZ;93
43.6305222244, 1.43234645778;{"type": "Point", "coordinates": [1.432346457784361, 43.63052222437632]};ETATS UNIS  CHARLAS;AV DES ETATS UNIS;75
43.5932005795, 1.42442781969;{"type": "Point", "coordinates": [1.424427819687436, 43.59320057953024]};CUGNAUX GRAVETTE;RUE DE CUGNAUX;66
43.5739078905, 1.44855240068;{"type": "Point", "coordinates": [1.448552400676191, 43.57390789051081]};CHARBONNIÈRE;RUE DE LA CHARBONNIERE;
43.5814509455, 1.38878379916;{"type": "Point", "coordinates": [1.388783799161274, 43.58145094547684]};PLACE DES PRADETTES;PL DES PRADETTES;
43.5791571885, 1.39260607284;{"type": "Point", "coordinates": [1.392606072837418, 43.57915718847198]};IZAR;RPT LOUIS IZAR;
43.5814678307, 1.37979179964;{"type": "Point", "coordinates": [1.379791799637351, 43.58146783068809]};MARIN;CHE DU MARIN;
43.5837779038, 1.40641531228;{"type": "Point", "coordinates": [1.40641531228392, 43.58377790375025]};PLACE CAMPAN;PL LOUIS CAMPAN;
43.6048803141, 1.4452839319;{"type": "Point", "coordinates": [1.445283931896369, 43.604880314142136]};LAFAYETTE;RUE LAFAYETTE;21
43.5946166266, 1.45588906937;{"type": "Point", "coordinates": [1.455889069369296, 43.594616626555165]};CAPTAINERIE PORT  - ST SAUVEUR;PORT SAINT SAUVEUR;5
43.6032696509, 1.44550808378;{"type": "Point", "coordinates": [1.445508083775763, 43.603269650920645]};POMME;RUE DE LA POMME;62
43.5984630863, 1.43669274179;{"type": "Point", "coordinates": [1.436692741794254, 43.59846308625473]};CHATEAU D EAU;PL LAGANNE;12
43.5966673942, 1.43623710388;{"type": "Point", "coordinates": [1.436237103877684, 43.59666739418037]};LAGANNE - TEINTURIERS;RUE LAGANNE;37
43.6152600218, 1.4350552616;{"type": "Point", "coordinates": [1.435055261597384, 43.61526002175326]};HOTEL DE DEPARTEMENT;BD DE LA MARQUETTE;1
43.6102092923, 1.43502297471;{"type": "Point", "coordinates": [1.435022974713734, 43.61020929231464]};DUPORTAL -  LASCROSSES;BD LASCROSSES;17T
